,state,state_po,year,candidate,party,candidatevotes,Electoral_College_Votes
75,Arkansas,AR,2016,HILLARY CLINTON,DEMOCRAT,380494,6.0
76,Arkansas,AR,2016,OTHER,OTHER,64530,6.0
77,Arkansas,AR,2020,DONALD J TRUMP,REPUBLICAN,760647,6.0
78,Arkansas,AR,2020,JO JORGENSEN,LIBERTARIAN,13133,6.0
79,Arkansas,AR,2020,JOSEPH R BIDEN JR,DEMOCRAT,423932,6.0
80,Arkansas,AR,2020,OTHER,GREEN,2980,6.0
81,Arkansas,AR,2020,OTHER,OTHER,18377,6.0
82,California,CA,2000,AL GORE,DEMOCRAT,5861203,55.0
83,California,CA,2000,GEORGE W. BUSH,REPUBLICAN,4567429,55.0
84,California,CA,2000,OTHER,OTHER,118517,55.0
85,California,CA,2000,RALPH NADER,GREEN,418707,55.0
86,California,CA,2004,GEORGE W. BUSH,REPUBLICAN,5501496,55.0
87,California,CA,2004,JOHN KERRY,DEMOCRAT,6737355,55.0
88,California,CA,2004,OTHER,OTHER,144827,55.0
89,California,CA,2008,BARACK OBAMA,DEMOCRAT,8274473,55.0
90,California,CA,2008,JOHN MCCAIN,REPUBLICAN,5011781,55.0
91,California,CA,2008,OTHER,OTHER,275646,55.0
92,California,CA,2012,BARACK OBAMA,DEMOCRAT,7854285,55.0
93,California,CA,2012,MITT ROMNEY,REPUBLICAN,4839958,55.0
94,California,CA,2012,OTHER,OTHER,344304,55.0
95,California,CA,2016,DONALD TRUMP,REPUBLICAN,4483810,55.0
96,California,CA,2016,HILLARY CLINTON,DEMOCRAT,8753788,55.0
97,California,CA,2016,OTHER,OTHER,943997,55.0
98,California,CA,2020,DONALD J TRUMP,REPUBLICAN,6006429,55.0
99,California,CA,2020,JO JORGENSEN,LIBERTARIAN,187895,55.0
100,California,CA,2020,JOSEPH R BIDEN JR,DEMOCRAT,11110250,55.0
101,California,CA,2020,OTHER,GREEN,81029,55.0
102,California,CA,2020,OTHER,OTHER,115278,55.0
103,Colorado,CO,2000,AL GORE,DEMOCRAT,738227,9.0
104,Colorado,CO,2000,GEORGE W. BUSH,REPUBLICAN,883745,9.0
105,Colorado,CO,2000,OTHER,OTHER,27959,9.0
106,Colorado,CO,2000,RALPH NADER,GREEN,91434,9.0
107,Colorado,CO,2004,GEORGE W. BUSH,REPUBLICAN,1101255,9.0
108,Colorado,CO,2004,JOHN KERRY,DEMOCRAT,1001732,9.0
109,Colorado,CO,2004,OTHER,OTHER,26643,9.0
110,Colorado,CO,2008,BARACK OBAMA,DEMOCRAT,1288576,9.0
111,Colorado,CO,2008,JOHN MCCAIN,REPUBLICAN,1073589,9.0
112,Colorado,CO,2008,OTHER,OTHER,39196,9.0
113,Colorado,CO,2012,BARACK OBAMA,DEMOCRAT,1322998,9.0
114,Colorado,CO,2012,MITT ROMNEY,REPUBLICAN,1185050,9.0
115,Colorado,CO,2012,OTHER,OTHER,61169,9.0
116,Colorado,CO,2016,DONALD TRUMP,REPUBLICAN,1202484,9.0
117,Colorado,CO,2016,HILLARY CLINTON,DEMOCRAT,1338870,9.0
118,Colorado,CO,2016,OTHER,OTHER,238866,9.0
119,Colorado,CO,2020,DONALD J TRUMP,REPUBLICAN,1364607,9.0
120,Colorado,CO,2020,JO JORGENSEN,LIBERTARIAN,52460,9.0
121,Colorado,CO,2020,JOSEPH R BIDEN JR,DEMOCRAT,1804352,9.0
122,Colorado,CO,2020,OTHER,GREEN,8986,9.0
123,Colorado,CO,2020,OTHER,OTHER,26575,9.0
124,Connecticut,CT,2000,AL GORE,DEMOCRAT,816015,7.0
125,Connecticut,CT,2000,GEORGE W. BUSH,REPUBLICAN,561094,7.0
126,Connecticut,CT,2000,OTHER,OTHER,17964,7.0
127,Connecticut,CT,2000,RALPH NADER,GREEN,64452,7.0
128,Connecticut,CT,2004,GEORGE W. BUSH,REPUBLICAN,693826,7.0
129,Connecticut,CT,2004,JOHN KERRY,DEMOCRAT,857488,7.0
130,Connecticut,CT,2004,OTHER,OTHER,27455,7.0
131,Connecticut,CT,2008,BARACK OBAMA,DEMOCRAT,1000291,7.0
132,Connecticut,CT,2008,JOHN MCCAIN,REPUBLICAN,628041,7.0
133,Connecticut,CT,2008,OTHER,OTHER,18753,7.0
134,Connecticut,CT,2012,BARACK OBAMA,DEMOCRAT,905083,7.0
135,Connecticut,CT,2012,MITT ROMNEY,REPUBLICAN,634892,7.0
136,Connecticut,CT,2012,OTHER,OTHER,18828,7.0
137,Connecticut,CT,2016,DONALD TRUMP,REPUBLICAN,673215,7.0
138,Connecticut,CT,2016,HILLARY CLINTON,DEMOCRAT,897572,7.0
139,Connecticut,CT,2016,OTHER,OTHER,76749,7.0
140,Connecticut,CT,2020,DONALD J TRUMP,REPUBLICAN,714717,7.0
141,Connecticut,CT,2020,JO JORGENSEN,LIBERTARIAN,20230,7.0
142,Connecticut,CT,2020,JOSEPH R BIDEN JR,DEMOCRAT,1080831,7.0
143,Connecticut,CT,2020,OTHER,GREEN,7538,7.0
144,Connecticut,CT,2020,OTHER,OTHER,541,7.0
145,Delaware,DE,2000,AL GORE,DEMOCRAT,180068,3.0
146,Delaware,DE,2000,GEORGE W. BUSH,REPUBLICAN,137288,3.0
147,Delaware,DE,2000,OTHER,OTHER,1866,3.0
148,Delaware,DE,2000,RALPH NADER,GREEN,8307,3.0
149,Delaware,DE,2004,GEORGE W. BUSH,REPUBLICAN,171651,3.0
150,Delaware,DE,2004,JOHN KERRY,DEMOCRAT,200141,3.0
151,Delaware,DE,2004,OTHER,OTHER,3378,3.0
