,state,year,candidate,candidatevotes,Electoral_College_Votes,candidatevotespercent
245,South Carolina,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[1091541|1385103|6907|27916|1862]",9.0,"[43.43|55.11|0.27|1.11|0.07]"
246,South Dakota,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[118804|190700|0|6765]",3.0,"[37.56|60.3|0.0|2.14]"
247,South Dakota,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[149244|232584|6387]",3.0,"[38.44|59.91|1.65]"
248,South Dakota,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[170924|203054|3730]",3.0,"[45.25|53.76|0.99]"
249,South Dakota,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[145039|210610|8166]",3.0,"[39.87|57.89|2.24]"
250,South Dakota,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[117458|227721|24914]",3.0,"[31.74|61.53|6.73]"
251,South Dakota,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Libertarian Jo Jorgensen']","[150471|261043|11095]",3.0,"[35.61|61.77|2.63]"
252,Tennessee,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[981720|1061949|19781|12731]",11.0,"[47.28|51.15|0.95|0.61]"
253,Tennessee,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[1032910|1381225|16359]",11.0,"[42.5|56.83|0.67]"
254,Tennessee,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[1087437|1479178|33509]",11.0,"[41.82|56.89|1.29]"
255,Tennessee,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[960709|1462330|35538]",11.0,"[39.08|59.48|1.45]"
256,Tennessee,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[870695|1522925|114407]",11.0,"[34.72|60.72|4.56]"
257,Tennessee,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Other']","[1143711|1852475|57665]",11.0,"[37.45|60.66|1.89]"
258,Texas,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[2433746|3799639|137994|36258]",38.0,"[37.98|59.3|2.15|0.57]"
259,Texas,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[2832704|4526917|51128]",38.0,"[38.22|61.09|0.69]"
260,Texas,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[3528633|4479328|69834]",38.0,"[43.68|55.45|0.86]"
261,Texas,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[3308124|4569843|115884]",38.0,"[41.38|57.17|1.45]"
262,Texas,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[3877868|4685047|406311]",38.0,"[43.24|52.23|4.53]"
263,Texas,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[5259126|5890347|33396|126243|5944]",38.0,"[46.48|52.06|0.3|1.12|0.05]"
264,Utah,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[203053|515096|35850|16755]",6.0,"[26.34|66.83|4.65|2.17]"
265,Utah,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[241199|663742|22903]",6.0,"[26.0|71.54|2.47]"
266,Utah,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[327670|596030|28670]",6.0,"[34.41|62.58|3.01]"
267,Utah,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[251813|740600|25027]",6.0,"[24.75|72.79|2.46]"
268,Utah,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[310676|515231|305523]",6.0,"[27.46|45.54|27.0]"
269,Utah,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[560282|865139|5053|38447|26433]",6.0,"[37.47|57.86|0.34|2.57|1.77]"
270,Vermont,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[149022|119775|20374|5137]",3.0,"[50.63|40.7|6.92|1.75]"
271,Vermont,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[184067|121180|7062]",3.0,"[58.94|38.8|2.26]"
272,Vermont,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[219262|98974|6810]",3.0,"[67.46|30.45|2.1]"
273,Vermont,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[199239|92698|7353]",3.0,"[66.57|30.97|2.46]"
274,Vermont,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[178573|95369|41135]",3.0,"[56.68|30.27|13.06]"
275,Vermont,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[242826|112708|1310|3608|10374]",3.0,"[65.48|30.39|0.35|0.97|2.8]"
276,Virginia,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[1216422|1436877|59373|25243]",13.0,"[44.43|52.48|2.17|0.92]"
277,Virginia,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[1454742|1716959|26666]",13.0,"[45.48|53.68|0.83]"
278,Virginia,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[1959532|1725005|38723]",13.0,"[52.63|46.33|1.04]"
279,Virginia,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[1971820|1822522|60147]",13.0,"[51.16|47.28|1.56]"
280,Virginia,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[1981473|1769443|233715]",13.0,"[49.73|44.41|5.87]"
281,Virginia,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Libertarian Jo Jorgensen'|'Other']","[2413568|1962430|64761|21841]",13.0,"[54.08|43.98|1.45|0.49]"
282,Washington,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[1247652|1108864|103002|28923]",12.0,"[50.14|44.56|4.14|1.16]"
283,Washington,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[1510201|1304894|43989]",12.0,"[52.82|45.64|1.54]"
284,Washington,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[1750848|1229216|56814]",12.0,"[57.65|40.48|1.87]"
285,Washington,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[1755396|1290670|79450]",12.0,"[56.16|41.29|2.54]"
286,Washington,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[1742718|1221747|244749]",12.0,"[54.3|38.07|7.63]"
287,Washington,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[2369612|1584651|18289|80500|34579]",12.0,"[57.97|38.77|0.45|1.97|0.85]"
288,West Virginia,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[295497|336475|10680|5472]",5.0,"[45.59|51.92|1.65|0.84]"
289,West Virginia,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[326541|423550|5568]",5.0,"[43.21|56.05|0.74]"
290,West Virginia,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[303857|397466|12128]",5.0,"[42.59|55.71|1.7]"
291,West Virginia,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[238269|417655|14516]",5.0,"[35.54|62.3|2.17]"
292,West Virginia,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[188794|489371|34886]",5.0,"[26.48|68.63|4.89]"
293,West Virginia,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen']","[235984|545382|2599|10687]",5.0,"[29.7|68.63|0.33|1.34]"
294,Wisconsin,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[1242987|1237279|94070|24271]",10.0,"[47.83|47.61|3.62|0.93]"
295,Wisconsin,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[1489504|1478120|29383]",10.0,"[49.7|49.32|0.98]"
296,Wisconsin,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[1677211|1262393|43813]",10.0,"[56.22|42.31|1.47]"
297,Wisconsin,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[1620985|1410966|39483]",10.0,"[52.78|45.94|1.29]"
298,Wisconsin,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[1381823|1404440|189490]",10.0,"[46.44|47.2|6.37]"
299,Wisconsin,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[1630673|1610065|1089|38491|17034]",10.0,"[49.45|48.83|0.03|1.17|0.52]"
300,Wyoming,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[60481|147947|4625|5298]",3.0,"[27.7|67.76|2.12|2.43]"
301,Wyoming,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[70776|167629|5023]",3.0,"[29.07|68.86|2.06]"
302,Wyoming,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[82868|164958|8209]",3.0,"[32.37|64.43|3.21]"
303,Wyoming,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[69286|170962|8813]",3.0,"[27.82|68.64|3.54]"
304,Wyoming,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[55973|174419|25457]",3.0,"[21.88|68.17|9.95]"
305,Wyoming,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Libertarian Jo Jorgensen'|'Other']","[73491|193559|5768|5685]",3.0,"[26.39|69.5|2.07|2.04]"
