,state,state_po,year,result
21,Massachusetts,MA,2012,1
22,Michigan,MI,2012,1
23,Minnesota,MN,2012,1
24,Mississippi,MS,2012,-1
25,Missouri,MO,2012,-1
26,Montana,MT,2012,-1
27,Nebraska,NE,2012,-1
28,Nevada,NV,2012,1
29,New Hampshire,NH,2012,1
30,New Jersey,NJ,2012,1
31,New Mexico,NM,2012,1
32,New York,NY,2012,1
33,North Carolina,NC,2012,-1
34,North Dakota,ND,2012,-1
35,Ohio,OH,2012,1
36,Oklahoma,OK,2012,-1
37,Oregon,OR,2012,1
38,Pennsylvania,PA,2012,1
39,Rhode Island,RI,2012,1
40,South Carolina,SC,2012,-1
41,South Dakota,SD,2012,-1
42,Tennessee,TN,2012,-1
43,Texas,TX,2012,-1
44,Utah,UT,2012,-1
45,Vermont,VT,2012,1
46,Virginia,VA,2012,1
47,Washington,WA,2012,1
48,West Virginia,WV,2012,-1
49,Wisconsin,WI,2012,1
50,Wyoming,WY,2012,-1
0,Alabama,AL,2016,-1
1,Alaska,AK,2016,-1
2,Arizona,AZ,2016,-1
3,Arkansas,AR,2016,-1
4,California,CA,2016,1
5,Colorado,CO,2016,1
6,Connecticut,CT,2016,1
7,Delaware,DE,2016,1
8,District Of Columbia,DC,2016,1
9,Florida,FL,2016,-1
10,Georgia,GA,2016,-1
11,Hawaii,HI,2016,1
12,Idaho,ID,2016,-1
13,Illinois,IL,2016,1
14,Indiana,IN,2016,-1
15,Iowa,IA,2016,-1
16,Kansas,KS,2016,-1
17,Kentucky,KY,2016,-1
18,Louisiana,LA,2016,-1
19,Maine,ME,2016,1
20,Maryland,MD,2016,1
21,Massachusetts,MA,2016,1
22,Michigan,MI,2016,-1
23,Minnesota,MN,2016,1
24,Mississippi,MS,2016,-1
25,Missouri,MO,2016,-1
26,Montana,MT,2016,-1
27,Nebraska,NE,2016,-1
28,Nevada,NV,2016,1
29,New Hampshire,NH,2016,1
30,New Jersey,NJ,2016,1
31,New Mexico,NM,2016,1
32,New York,NY,2016,1
33,North Carolina,NC,2016,-1
34,North Dakota,ND,2016,-1
35,Ohio,OH,2016,-1
36,Oklahoma,OK,2016,-1
37,Oregon,OR,2016,1
38,Pennsylvania,PA,2016,-1
39,Rhode Island,RI,2016,1
40,South Carolina,SC,2016,-1
41,South Dakota,SD,2016,-1
42,Tennessee,TN,2016,-1
43,Texas,TX,2016,-1
44,Utah,UT,2016,-1
45,Vermont,VT,2016,1
46,Virginia,VA,2016,1
47,Washington,WA,2016,1
48,West Virginia,WV,2016,-1
49,Wisconsin,WI,2016,-1
50,Wyoming,WY,2016,-1
0,Alabama,AL,2020,-1
1,Alaska,AK,2020,-1
2,Arizona,AZ,2020,1
3,Arkansas,AR,2020,-1
4,California,CA,2020,1
5,Colorado,CO,2020,1
6,Connecticut,CT,2020,1
7,Delaware,DE,2020,1
8,District Of Columbia,DC,2020,1
9,Florida,FL,2020,-1
10,Georgia,GA,2020,1
11,Hawaii,HI,2020,1
12,Idaho,ID,2020,-1
13,Illinois,IL,2020,1
14,Indiana,IN,2020,-1
15,Iowa,IA,2020,-1
16,Kansas,KS,2020,-1
17,Kentucky,KY,2020,-1
18,Louisiana,LA,2020,-1
19,Maine,ME,2020,1
20,Maryland,MD,2020,1
21,Massachusetts,MA,2020,1
22,Michigan,MI,2020,1
23,Minnesota,MN,2020,1
24,Mississippi,MS,2020,-1
25,Missouri,MO,2020,-1
26,Montana,MT,2020,-1
27,Nebraska,NE,2020,-1
28,Nevada,NV,2020,1
29,New Hampshire,NH,2020,1
30,New Jersey,NJ,2020,1
31,New Mexico,NM,2020,1
32,New York,NY,2020,1
33,North Carolina,NC,2020,-1
34,North Dakota,ND,2020,-1
35,Ohio,OH,2020,-1
36,Oklahoma,OK,2020,-1
37,Oregon,OR,2020,1
38,Pennsylvania,PA,2020,1
39,Rhode Island,RI,2020,1
40,South Carolina,SC,2020,-1
41,South Dakota,SD,2020,-1
42,Tennessee,TN,2020,-1
43,Texas,TX,2020,-1
44,Utah,UT,2020,-1
45,Vermont,VT,2020,1
46,Virginia,VA,2020,1
47,Washington,WA,2020,1
48,West Virginia,WV,2020,-1
49,Wisconsin,WI,2020,1
50,Wyoming,WY,2020,-1
